Date,Close
3/2/2015,57.45
3/3/2015,56.67
3/4/2015,57.2
3/5/2015,57.38
3/6/2015,56.36
3/9/2015,56.67
3/10/2015,55.05
3/11/2015,55.09
3/12/2015,55.06
3/13/2015,55.3
3/16/2015,55.82
3/17/2015,54.17
3/18/2015,55.63
3/19/2015,55.96
3/20/2015,57.28
3/23/2015,57.27
3/24/2015,57.96
3/25/2015,56.09
3/26/2015,56.08
3/27/2015,58.24
3/30/2015,59.47
3/31/2015,58.82
4/1/2015,57.28
4/2/2015,57.65
4/6/2015,57.12
4/7/2015,57.8
4/8/2015,58.15
4/9/2015,57.5
4/10/2015,58.36
4/13/2015,57.33
4/14/2015,57.07
4/15/2015,56.86
4/16/2015,56.86
4/17/2015,56.03
4/20/2015,57.29
4/21/2015,59.03
4/22/2015,59.81
4/23/2015,59.88
4/24/2015,59.89
4/27/2015,59.84
4/28/2015,59.11
4/29/2015,58.62
4/30/2015,58.09
5/1/2015,59.33
5/4/2015,59.31
5/5/2015,59.16
5/6/2015,60.93
5/7/2015,60.27
5/8/2015,61.88
5/11/2015,62.59
5/12/2015,62.46
5/13/2015,61.73
5/14/2015,63.09
5/15/2015,62.88
5/18/2015,63.3
5/19/2015,62.61
5/20/2015,62.24
5/21/2015,62.69
5/22/2015,62.56
5/26/2015,62.53
5/27/2015,63.86
5/28/2015,63.27
5/29/2015,62.76
6/1/2015,62.89
6/2/2015,62.98
6/3/2015,63.37
6/4/2015,62.63
6/5/2015,62.9
6/8/2015,61.66
6/9/2015,61.78
6/10/2015,62.53
6/11/2015,62.59
6/12/2015,62.75
6/15/2015,61.57
6/16/2015,62.86
6/17/2015,64.48
6/18/2015,65.27
6/19/2015,65.95
6/22/2015,66.62
6/23/2015,66.58
6/24/2015,67.68
6/25/2015,67.45
6/26/2015,67.63
6/29/2015,66.22
6/30/2015,66.5
7/1/2015,68
7/2/2015,67.8
7/6/2015,68.01
7/7/2015,69.89
7/8/2015,69
7/9/2015,70.5
7/10/2015,72.07
7/13/2015,73.54
7/14/2015,72.25
7/15/2015,72.5
7/16/2015,72.97
7/17/2015,73.47
7/20/2015,74.79
7/21/2015,73.68
7/22/2015,72.92
7/23/2015,71.81
7/24/2015,72.29
7/27/2015,71.22
7/28/2015,71.8
7/29/2015,72.18
7/30/2015,72.3
7/31/2015,71.55
8/3/2015,70.97
8/4/2015,71.8
8/5/2015,75.16
8/6/2015,74.01
8/7/2015,73.36
8/10/2015,73.97
8/11/2015,73.82
8/12/2015,73.72
8/13/2015,73.38
8/14/2015,72.82
8/17/2015,73.7
8/18/2015,73.85
8/19/2015,71.61
8/20/2015,67.71
8/21/2015,65.53
8/24/2015,63.7
8/25/2015,63.54
8/26/2015,66.34
8/27/2015,67.16
8/28/2015,67.91
8/31/2015,66.15
9/1/2015,63.43
9/2/2015,64.67
9/3/2015,65.79
9/4/2015,66.37
9/8/2015,68.5
9/9/2015,67.78
9/10/2015,68.74
9/11/2015,68.91
9/14/2015,68.35
9/15/2015,69.38
9/16/2015,70.28
9/17/2015,71.06
9/18/2015,70.07
9/21/2015,70.58
9/22/2015,68.69
9/23/2015,69.46
9/24/2015,68.81
9/25/2015,69.49
9/28/2015,66.46
9/29/2015,66
9/30/2015,67.75
10/1/2015,67.2
10/2/2015,66.49
10/5/2015,67.59
10/6/2015,66.55
10/7/2015,66.11
10/8/2015,65.8
10/9/2015,65.04
10/12/2015,68.11
10/13/2015,68.42
10/14/2015,70.57
10/15/2015,70.97
10/16/2015,71.71
10/19/2015,72.29
10/20/2015,72.3
10/21/2015,72.79
10/22/2015,74.54
10/23/2015,74.92
10/26/2015,74.08
10/27/2015,75.27
10/28/2015,76.77
10/29/2015,76.06
10/30/2015,72.07
11/2/2015,72
11/3/2015,71.9
11/4/2015,74.29
11/5/2015,74.06
11/6/2015,72.38
11/9/2015,70.94
11/10/2015,70.83
11/11/2015,71.3
11/12/2015,71.66
11/13/2015,69.89
11/16/2015,67.99
11/17/2015,68.1
11/18/2015,68.42
11/19/2015,71.08
11/20/2015,72.42
11/23/2015,68.98
11/24/2015,67.06
11/25/2015,69.51
11/27/2015,68.88
11/30/2015,67.79
12/1/2015,68.63
12/2/2015,69.34
12/3/2015,67.22
12/4/2015,70.38
12/7/2015,70.79
12/8/2015,70.99
12/9/2015,67.09
12/10/2015,66.37
12/11/2015,67.17
12/14/2015,69.66
12/15/2015,72.33
12/16/2015,72.04
12/17/2015,71.12
12/18/2015,68.98
12/21/2015,68.71
12/22/2015,69.07
12/23/2015,68.64
12/24/2015,68.95
12/28/2015,69.19
12/29/2015,69.85
12/30/2015,69.65
12/31/2015,68.72
1/4/2016,66.1
1/5/2016,64.94
1/6/2016,63.68
1/7/2016,62.46
1/8/2016,63.13
1/11/2016,64.21
1/12/2016,65.62
1/13/2016,63.38
1/14/2016,64.48
1/15/2016,66.06
1/19/2016,67.37
1/20/2016,66.85
1/21/2016,67.03
1/22/2016,69.36
1/25/2016,69.92
1/26/2016,70.83
1/27/2016,69.49
1/28/2016,69.79
1/29/2016,64.55
2/1/2016,64.2
2/2/2016,60.66
2/3/2016,59.61
2/4/2016,58.73
2/5/2016,55.5
2/8/2016,56.32
2/9/2016,58.25
2/10/2016,58.98
2/11/2016,58.19
2/12/2016,59.25
2/16/2016,59.36
2/17/2016,59.84
2/18/2016,58.35
2/19/2016,59.57
2/22/2016,63.27
2/23/2016,61.52
2/24/2016,63.2
2/25/2016,64.68
2/26/2016,64.45
2/29/2016,64.24
3/1/2016,65.48
3/2/2016,66.09
3/3/2016,64.8
3/4/2016,64.43
3/7/2016,63.59
3/8/2016,62.96
3/9/2016,63.92
3/10/2016,63.5
3/11/2016,64.47
3/14/2016,64.79
3/15/2016,65.72
3/16/2016,66
3/17/2016,64.67
3/18/2016,64.32
3/21/2016,63.94
3/22/2016,63.87
3/23/2016,65.05
3/24/2016,64.24
3/28/2016,64.64
3/29/2016,66.03
3/30/2016,66.41
3/31/2016,66.11
4/1/2016,65.92
4/4/2016,65.74
4/5/2016,65.45
4/6/2016,65.83
4/7/2016,63.93
4/8/2016,64.24
4/11/2016,63.16
4/12/2016,62.96
4/13/2016,64.77
4/14/2016,64.94
4/15/2016,66.84
4/18/2016,66.52
4/19/2016,66.19
4/20/2016,65.8
4/21/2016,66.18
4/22/2016,65.87
4/25/2016,65.93
4/26/2016,65.33
4/27/2016,63.35
4/28/2016,62.32
4/29/2016,61.85
5/2/2016,62.89
5/3/2016,62.08
5/4/2016,61.88
5/5/2016,62.24
5/6/2016,63.94
5/9/2016,64.52
5/10/2016,64.54
5/11/2016,73.38
5/12/2016,75.01
5/13/2016,75.2
5/16/2016,76.62
5/17/2016,75.14
5/18/2016,74.49
5/19/2016,73.5
5/20/2016,73.11
5/23/2016,73.24
5/24/2016,75.35
5/25/2016,74.94
5/26/2016,75.11
5/27/2016,75.7
5/31/2016,76.75
6/1/2016,76.62
6/2/2016,76.58
6/3/2016,76.36
6/6/2016,76.49
6/7/2016,77.25
6/8/2016,76.28
6/9/2016,76.25
6/10/2016,75.28
6/13/2016,74.24
6/14/2016,74.52
6/15/2016,74.39
6/16/2016,75
6/17/2016,74.52
6/20/2016,75.31
6/21/2016,75.51
6/22/2016,74.8
6/23/2016,76.05
6/24/2016,73.21
6/27/2016,71.5
6/28/2016,72.6
6/29/2016,73.74
6/30/2016,75.76
7/1/2016,75.87
7/5/2016,75.89
7/6/2016,76.74
7/7/2016,76.62
7/8/2016,78.26
7/11/2016,79.17
7/12/2016,79.51
7/13/2016,77.62
7/14/2016,78.05
7/15/2016,77.83
7/18/2016,78.26
7/19/2016,76.5
7/20/2016,76.7
7/21/2016,75.38
7/22/2016,76.33
7/25/2016,76.9
7/26/2016,76.84
7/27/2016,76.67
7/28/2016,76.28
7/29/2016,76.32
8/1/2016,76.63
8/2/2016,76.78
8/3/2016,78.63
8/4/2016,78.23
8/5/2016,79.84
8/8/2016,79.27
8/9/2016,78.69
8/10/2016,78.57
8/11/2016,77.85
8/12/2016,77.43
8/15/2016,79.48
8/16/2016,78.05
8/17/2016,79.77
8/18/2016,80.98
8/19/2016,81.76
8/22/2016,81.49
8/23/2016,82.31
8/24/2016,82.42
8/25/2016,81.55
8/26/2016,81.21
8/29/2016,81.51
8/30/2016,81.73
8/31/2016,81.23
9/1/2016,81.76
9/2/2016,83.46
9/6/2016,83.87
9/7/2016,82.75
9/8/2016,82.16
9/9/2016,79.86
9/12/2016,80.84
9/13/2016,80.87
9/14/2016,80.83
9/15/2016,83.37
9/16/2016,82.89
9/19/2016,82.77
9/20/2016,82.99
9/21/2016,83.47
9/22/2016,83.17
9/23/2016,84.26
9/26/2016,83.5
9/27/2016,85.2
9/28/2016,85
9/29/2016,84.26
9/30/2016,85.4
10/3/2016,85.41
10/4/2016,85.56
10/5/2016,85.47
10/6/2016,84.58
10/7/2016,83.81
10/10/2016,84.74
10/11/2016,83.37
10/12/2016,82.53
10/13/2016,81.76
10/14/2016,82.59
10/17/2016,82.32
10/18/2016,84.01
